rooms,area,price,price_per_meter,check_in,complex,metro,adress,building,floor,metro_public_transport_time,district,district_population,district_avg_salary,description,developer
2.0,1.0,8945680.0,168469.0,-18%,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 6,16 из 16,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
1.0,7.0,25059468.0,647532.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 4",10 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,2.0,26498015.0,643156.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 9",8 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
2.0,6.0,10930656.0,193122.0,Сдан,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,15 из 15,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
1.0,5.0,21950323.0,541984.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 3 этап, корпус 8",6 из 11,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,6.0,24295619.0,629421.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 7",10 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,9.0,21127738.0,557461.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 2 этап, корпус 2",4 из 5,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
,8.0,18105280.0,730052.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 7",2 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
2.0,1.0,7246863.0,164328.0,-15%,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,9 из 16,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
1.0,6.0,26092468.0,642672.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 9",9 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,7.0,26716720.0,572093.0,III квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 4 этап, корпус 3",6 из 14,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,9.0,25399383.0,621012.0,II квартал 2028,Sokolinn Park,Бульвар Рокоссовского,"г. Москва, ВАО, Богородское, 3-я Гражданская ул., влд.1",Корпус 2,19 из 22,,,,,"Sokolinn Park — это проект, где природа и комфорт идеально сочетаются. Он расположен в живописном Богородском районе на востоке Москвы, всего в 15 минутах от станции метро «Преображенская площадь». Близость национального парка «Лосиный остров» и знаменитого парка «Сокольники» делает Sokolinn Park привлекательным для тех, кто ценит естественную красоту окружающего мира и активный образ жизни.
Развитая инфраструктура в шаговой доступности обеспечивает удобство и комфорт для жителей комплекса.",etalon
,8.0,5185747.0,186538.0,-15%,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,10 из 15,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
1.0,7.0,25194087.0,506924.0,-24%,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","1 очередь, корпус 5",20 из 28,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,9.0,25256972.0,666411.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 9",10 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,9.0,26813571.0,625025.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 5",10 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
2.0,3.0,9935097.0,182967.0,Сдан,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,12 из 16,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
2.0,4.0,7425784.0,171102.0,-15%,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,12 из 16,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
2.0,44.0,8841463.0,200943.0,Сдан,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,16 из 16,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
1.0,8.0,25721121.0,527073.0,II квартал 2027,Nagatino i-Land,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23, стр. 438","уч.1.7, корпус 3",16 из 35,,,,,"Nagatino i-Land — это принципиально новый взгляд на то, какой уже совсем скоро станет жизнь современного жителя мегаполиса.
Жилой комплекс бизнес-класса от Группы «Эталон» расположен между двух набережных и окружён водой с обеих сторон.
Идеальное сочетание транспортной доступности, видов на воду и благоустроенных парков рядом с домом стирает границы между комфортом жизни вблизи центра Москвы и удовольствием от отдыха на свежем воздухе. Обладая уникальным расположением и выделяясь изяществом современных архитектурных решений, Nagatino i-Land станет новой вехой в истории московского строительства и подарит каждому жителю множество новых возможностей.",etalon
1.0,2.0,21445493.0,547079.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 3 этап, корпус 10",2 из 5,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
2.0,5.0,8600040.0,152214.0,-15%,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,9 из 16,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
,8.0,18657355.0,752313.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 7",7 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,5.0,22246682.0,549301.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 3 этап, корпус 8",9 из 11,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
,7.0,22819097.0,823795.0,II квартал 2025,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 1 этап, корпус 2",6 из 12,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,9.0,26167292.0,557938.0,III квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 4 этап, корпус 2",4 из 12,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,5.0,23247090.0,546991.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 2 этап, корпус 3",2 из 5,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,2.0,22801406.0,581669.0,II квартал 2028,Sokolinn Park,Бульвар Рокоссовского,"г. Москва, ВАО, Богородское, 3-я Гражданская ул., влд.1",Корпус 1,5 из 13,,,,,"Sokolinn Park — это проект, где природа и комфорт идеально сочетаются. Он расположен в живописном Богородском районе на востоке Москвы, всего в 15 минутах от станции метро «Преображенская площадь». Близость национального парка «Лосиный остров» и знаменитого парка «Сокольники» делает Sokolinn Park привлекательным для тех, кто ценит естественную красоту окружающего мира и активный образ жизни.
Развитая инфраструктура в шаговой доступности обеспечивает удобство и комфорт для жителей комплекса.",etalon
1.0,1.0,26301097.0,535664.0,II квартал 2027,Nagatino i-Land,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23, стр. 438","уч.1.7, корпус 4",7 из 19,,,,,"Nagatino i-Land — это принципиально новый взгляд на то, какой уже совсем скоро станет жизнь современного жителя мегаполиса.
Жилой комплекс бизнес-класса от Группы «Эталон» расположен между двух набережных и окружён водой с обеих сторон.
Идеальное сочетание транспортной доступности, видов на воду и благоустроенных парков рядом с домом стирает границы между комфортом жизни вблизи центра Москвы и удовольствием от отдыха на свежем воздухе. Обладая уникальным расположением и выделяясь изяществом современных архитектурных решений, Nagatino i-Land станет новой вехой в истории московского строительства и подарит каждому жителю множество новых возможностей.",etalon
,4.0,23371366.0,744312.0,IV квартал 2025,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","2 очередь, 1 этап, корпус 7",17 из 17,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,39.0,24787258.0,635571.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 4",7 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,3.0,6901298.0,167102.0,-15%,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,11 из 15,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
1.0,5.0,26743936.0,575139.0,III квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 4 этап, корпус 2",8 из 12,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
